Tanggal,Price,Trend_Indicator,price_value_price,price_value_yield
2021-05-03,57147.0,1.0,116.5,3.93
2021-05-04,53264.0,0.0,116.5,3.93
2021-05-05,57477.0,0.5,116.5,3.93
2021-05-06,56451.0,1.0,116.5,3.93
2021-05-07,57349.0,1.0,116.5,3.93
2021-05-08,58894.0,1.0,,
2021-05-09,58276.0,1.0,,
2021-05-10,55851.0,1.0,116.5,3.93
2021-05-11,56715.0,1.0,116.5,3.93
2021-05-12,49725.0,0.0,,
2021-05-13,49747.0,-0.5,,
2021-05-14,49917.0,-0.5,,
2021-05-15,46784.9,-0.5,,
2021-05-16,46582.9,-0.5,,
2021-05-17,43544.0,-1.0,,
2021-05-18,42935.0,-1.0,,
2021-05-19,36755.0,-1.0,,
2021-05-20,40578.0,-1.0,116.5,3.93
2021-05-21,37415.0,-1.0,116.5,3.93
2021-05-22,37585.0,-1.0,,
2021-05-23,34730.3,-1.0,,
2021-05-24,38772.9,-1.0,116.5,3.93
2021-05-25,38363.0,-1.0,116.5,3.93
2021-05-26,39301.0,-1.0,,
2021-05-27,38435.0,-1.0,116.5,3.93
2021-05-28,35667.0,-1.0,116.5,3.93
2021-05-29,34570.0,-1.0,,
2021-05-30,35615.0,-1.0,,
2021-05-31,37305.0,-1.0,116.5,3.93
2021-06-01,36672.6,-1.0,,
2021-06-02,37590.0,-1.0,116.5,3.93
2021-06-03,39209.0,-1.0,116.5,3.93
2021-06-04,36854.0,-1.0,116.5,3.93
2021-06-05,35543.0,-1.0,,
2021-06-06,35782.0,-1.0,,
2021-06-07,33596.0,-1.0,116.5,3.93
2021-06-08,33415.0,-1.0,116.5,3.93
2021-06-09,37347.0,-1.0,116.5,3.93
2021-06-10,36649.2,-1.0,116.5,3.93
2021-06-11,37338.0,-1.0,116.5,3.93
2021-06-12,35531.0,-1.0,,
2021-06-13,39004.0,-0.5,,
2021-06-14,40500.0,-0.5,116.5,3.93
2021-06-15,40139.0,-0.5,116.5,3.93
2021-06-16,38332.0,-0.5,116.5,3.93
2021-06-17,38061.0,-0.5,116.5,3.93
2021-06-18,35802.0,-1.0,116.5,3.93
2021-06-19,35585.8,-1.0,,
2021-06-20,35631.0,-1.0,,
2021-06-21,31761.0,-1.0,116.5,3.93
2021-06-22,32553.0,-1.0,116.5,3.93
2021-06-23,33703.0,-1.0,116.5,3.93
2021-06-24,34656.6,-1.0,116.5,3.93
2021-06-25,31584.0,-1.0,116.5,3.93
2021-06-26,32359.0,-1.0,,
2021-06-27,34717.0,-1.0,,
2021-06-28,34484.0,-1.0,116.5,3.93
2021-06-29,35895.9,-0.5,116.5,3.93
2021-06-30,35043.5,-0.5,116.5,3.93
2021-07-01,33554.4,-1.0,116.5,3.93
2021-07-02,33816.0,-1.0,116.5,3.93
2021-07-03,34758.0,-1.0,,
2021-07-04,35289.0,-0.5,,
2021-07-05,33668.0,-1.0,116.5,3.93
2021-07-06,34140.0,-1.0,116.5,3.93
2021-07-07,33886.0,-1.0,116.5,3.93
2021-07-08,32873.9,-1.0,116.5,3.93
2021-07-09,33769.0,-1.0,116.5,3.93
2021-07-10,33506.0,-1.0,,
2021-07-11,34239.0,-1.0,,
2021-07-12,33090.0,-1.0,116.5,3.93
2021-07-13,32727.0,-1.0,116.5,3.93
2021-07-14,32822.6,-1.0,116.5,3.93
2021-07-15,31857.0,-1.0,116.5,3.93
2021-07-16,31429.0,-1.0,116.5,3.93
2021-07-17,31559.0,-1.0,,
2021-07-18,31824.0,-1.0,,
2021-07-19,30847.0,-1.0,116.5,3.93
2021-07-20,29806.1,-1.0,,
2021-07-21,32141.0,-1.0,116.5,3.93
2021-07-22,32320.0,-1.0,116.5,3.93
2021-07-23,33597.1,-0.5,116.5,3.93
2021-07-24,33845.0,-0.5,,
2021-07-25,35407.0,-0.5,,
2021-07-26,37296.0,0.0,116.5,3.93
2021-07-27,39563.0,0.0,116.5,3.93
2021-07-28,40004.0,0.0,116.5,3.93
2021-07-29,40041.0,0.0,116.5,3.93
2021-07-30,42169.0,0.0,116.5,3.93
2021-07-31,41409.0,0.5,,
2021-08-01,39922.0,0.5,,
2021-08-02,39156.0,0.5,116.5,3.93
2021-08-03,38207.0,0.5,116.5,3.93
2021-08-04,39754.0,0.5,116.5,3.93
2021-08-05,40887.0,0.5,116.5,3.93
2021-08-06,42830.0,0.5,116.5,3.93
2021-08-07,44589.0,0.5,,
2021-08-08,43770.0,0.5,,
2021-08-09,46293.0,0.5,116.5,3.93
2021-08-10,45612.0,0.5,,
2021-08-11,45546.0,0.5,,
2021-08-12,44423.0,0.5,116.5,3.93
2021-08-13,47842.0,0.5,116.5,3.93
2021-08-14,47084.0,0.5,,
2021-08-15,47031.0,0.5,,
2021-08-16,45940.0,0.5,116.5,3.93
2021-08-17,44698.0,0.5,,
2021-08-18,44744.0,0.5,116.5,3.93
2021-08-19,46765.0,0.5,116.5,3.93
2021-08-20,49332.0,0.5,116.5,3.93
2021-08-21,48868.0,1.0,,
2021-08-22,49264.0,1.0,,
2021-08-23,49539.0,1.0,116.5,3.93
2021-08-24,47714.0,1.0,116.5,3.93
2021-08-25,48989.0,1.0,116.5,3.93
2021-08-26,46832.0,1.0,116.5,3.93
2021-08-27,49076.1,1.0,116.5,3.93
2021-08-28,48914.0,1.0,,
2021-08-29,48800.0,1.0,,
2021-08-30,47008.0,1.0,116.5,3.93
2021-08-31,47157.0,0.5,116.5,3.93
2021-09-01,48844.0,1.0,116.5,3.93
2021-09-02,49291.0,1.0,116.5,3.93
2021-09-03,50000.0,1.0,116.5,3.93
2021-09-04,49899.0,1.0,,
2021-09-05,51762.0,1.0,,
2021-09-06,52676.0,1.0,116.5,3.93
2021-09-07,46778.0,1.0,116.5,3.93
2021-09-08,46088.0,0.5,116.5,3.93
2021-09-09,46389.0,0.5,116.5,3.93
2021-09-10,44852.0,0.5,116.5,3.93
2021-09-11,45169.0,0.0,,
2021-09-12,46069.0,0.0,,
2021-09-13,44960.0,0.0,116.5,3.93
2021-09-14,47078.0,0.0,116.5,3.93
2021-09-15,48136.0,1.0,116.5,3.93
2021-09-16,47786.0,1.0,116.5,3.93
2021-09-17,47292.0,1.0,116.5,3.93
2021-09-18,48309.0,1.0,,
2021-09-19,47239.0,1.0,,
2021-09-20,43002.0,0.0,116.5,3.93
2021-09-21,40664.0,0.0,116.5,3.93
2021-09-22,43582.6,0.0,116.5,3.93
2021-09-23,44882.0,0.0,116.5,3.93
2021-09-24,42878.0,0.0,116.5,3.93
2021-09-25,42711.0,-1.0,,
2021-09-26,43180.0,-1.0,,
2021-09-27,42191.0,-1.0,116.5,3.93
2021-09-28,41064.0,-1.0,116.5,3.93
2021-09-29,41551.0,-1.0,116.5,3.93
2021-09-30,43830.0,-1.0,116.5,3.93
2021-10-01,48157.0,-0.5,116.5,3.93
2021-10-02,47675.0,-0.5,,
2021-10-03,48243.0,0.5,,
2021-10-04,49252.0,0.5,116.5,3.93
2021-10-05,51508.0,1.0,116.5,3.93
2021-10-06,55331.0,1.0,116.5,3.93
2021-10-07,53793.0,1.0,116.5,3.93
2021-10-08,53925.0,1.0,116.5,3.93
2021-10-09,54978.0,1.0,,
2021-10-10,54701.0,1.0,,
2021-10-11,57468.0,1.0,116.5,3.93
2021-10-12,55967.0,1.0,116.5,3.93
2021-10-13,57381.0,1.0,116.5,3.93
2021-10-14,57354.0,1.0,116.5,3.93
2021-10-15,61709.0,1.0,116.5,3.93
2021-10-16,60867.5,1.0,,
2021-10-17,61511.0,1.0,,
2021-10-18,62034.0,1.0,116.5,3.93
2021-10-19,64237.0,1.0,,
2021-10-20,65988.0,1.0,,
2021-10-21,62200.0,1.0,116.5,3.93
2021-10-22,60708.0,1.0,116.5,3.93
2021-10-23,61302.0,1.0,,
2021-10-24,60847.0,1.0,,
2021-10-25,63100.0,1.0,116.5,3.93
2021-10-26,60290.0,1.0,116.5,3.93
2021-10-27,58453.0,0.5,120.25,3.7
2021-10-28,60598.0,1.0,120.25,3.7
2021-10-29,62235.0,1.0,120.25,3.7
2021-10-30,61838.8,1.0,,
2021-10-31,61330.0,1.0,,
2021-11-01,60927.0,1.0,120.25,3.7
2021-11-02,63249.0,1.0,120.25,3.7
2021-11-03,62904.0,1.0,120.25,3.7
2021-11-04,61422.8,1.0,120.25,3.7
2021-11-05,61016.4,1.0,120.25,3.7
2021-11-06,61496.0,1.0,,
2021-11-07,63259.1,1.0,,
2021-11-08,67526.0,1.0,120.25,3.7
2021-11-09,66935.0,1.0,120.25,3.7
2021-11-10,64954.0,1.0,120.25,3.7
2021-11-11,64801.0,1.0,120.25,3.7
2021-11-12,64156.0,1.0,120.25,3.7
2021-11-13,64406.0,1.0,,
2021-11-14,65471.0,1.0,,
2021-11-15,63562.0,1.0,120.25,3.7
2021-11-16,60124.0,0.5,120.25,3.7
2021-11-17,60386.1,0.5,120.25,3.7
2021-11-18,57014.0,0.0,120.25,3.7
2021-11-19,58130.0,0.0,120.25,3.7
2021-11-20,59739.0,0.0,,
2021-11-21,58790.0,0.0,,
2021-11-22,56299.0,0.0,120.25,3.7
2021-11-23,57602.0,0.0,120.25,3.7
2021-11-24,57209.0,0.0,120.25,3.7
2021-11-25,58995.0,0.0,120.25,3.7
2021-11-26,53738.0,0.0,120.25,3.7
2021-11-27,54836.0,0.0,,
2021-11-28,57325.0,0.0,,
2021-11-29,57845.0,0.0,120.25,3.7
2021-11-30,56938.0,0.0,120.25,3.7
2021-12-01,57250.0,-0.5,120.25,3.7
2021-12-02,56517.0,-0.5,119.75,3.73
2021-12-03,53709.0,-0.5,119.75,3.73
2021-12-04,49272.0,-0.5,,
2021-12-05,49469.0,-0.5,,
2021-12-06,50566.6,-1.0,119.75,3.73
2021-12-07,50634.0,-1.0,119.75,3.73
2021-12-08,50503.4,-1.0,119.75,3.73
2021-12-09,47611.0,-1.0,119.75,3.73
2021-12-10,47170.0,-1.0,119.75,3.73
2021-12-11,49363.1,-1.0,,
2021-12-12,50123.0,-1.0,,
2021-12-13,46777.0,-1.0,119.75,3.73
2021-12-14,48408.0,-1.0,119.75,3.73
2021-12-15,48901.0,-1.0,119.75,3.73
2021-12-16,47675.0,-1.0,119.75,3.73
2021-12-17,46193.0,-1.0,119.75,3.73
2021-12-18,46879.0,-1.0,,
2021-12-19,46716.5,-1.0,,
2021-12-20,46898.0,-1.0,119.75,3.73
2021-12-21,48923.0,-1.0,119.75,3.73
2021-12-22,48626.0,-1.0,119.75,3.73
2021-12-23,50812.0,-0.5,119.75,3.73
2021-12-24,50815.0,-0.5,,
2021-12-25,50437.0,-0.5,,
2021-12-26,50797.0,-0.5,,
2021-12-27,50684.0,-0.5,,
2021-12-28,47554.0,-1.0,119.75,3.73
2021-12-29,46465.0,-1.0,119.75,3.73
2021-12-30,47156.0,-1.0,119.75,3.73
2021-12-31,46218.0,-1.0,119.75,3.73
2022-01-01,47755.0,-1.0,,
2022-01-02,47314.0,-1.0,,
2022-01-03,46445.0,-1.0,119.75,3.73
2022-01-04,45830.0,-1.0,119.75,3.73
2022-01-05,43418.0,-1.0,121.63,3.63
2022-01-06,43111.0,-1.0,121.63,3.63
2022-01-07,41518.0,-1.0,121.63,3.63
2022-01-08,41679.0,-1.0,,
2022-01-09,41850.0,-1.0,,
2022-01-10,41839.0,-1.0,121.63,3.63
2022-01-11,42743.0,-1.0,121.63,3.63
2022-01-12,43909.0,-1.0,121.63,3.63
2022-01-13,42562.0,-1.0,121.63,3.63
2022-01-14,43091.0,-1.0,121.63,3.63
2022-01-15,43069.0,-1.0,,
2022-01-16,43084.0,-1.0,,
2022-01-17,42242.0,-1.0,121.63,3.63
2022-01-18,42390.0,-1.0,121.63,3.63
2022-01-19,41676.0,-1.0,121.63,3.63
2022-01-20,40740.0,-1.0,117.0,3.9
2022-01-21,36501.0,-1.0,117.0,3.9
2022-01-22,35103.0,-1.0,,
2022-01-23,36308.0,-1.0,,
2022-01-24,36702.0,-1.0,117.0,3.9
2022-01-25,36994.0,-1.0,117.0,3.9
2022-01-26,36830.8,-1.0,117.0,3.9
2022-01-27,37217.0,-1.0,117.0,3.9
2022-01-28,37759.8,-1.0,117.0,3.9
2022-01-29,38197.0,-1.0,,
2022-01-30,37939.0,-1.0,,
2022-01-31,38526.0,-1.0,117.0,3.9
2022-02-01,38733.0,-1.0,,
2022-02-02,36925.0,-1.0,117.0,3.9
2022-02-03,37331.0,-1.0,117.0,3.9
2022-02-04,41562.7,-0.5,115.75,3.99
2022-02-05,41454.0,-0.5,,
2022-02-06,42423.0,-0.5,,
2022-02-07,43865.0,0.0,115.75,3.99
2022-02-08,44060.5,0.0,115.75,3.99
2022-02-09,44432.0,0.0,113.25,4.11
2022-02-10,43545.0,0.0,113.25,4.11
2022-02-11,42418.0,0.0,113.25,4.11
2022-02-12,42239.1,0.0,,
2022-02-13,42091.0,0.0,,
2022-02-14,42559.9,0.0,114.5,4.06
2022-02-15,44559.9,0.0,113.25,4.12
2022-02-16,43885.0,0.0,113.0,4.14
2022-02-17,40556.0,-0.5,113.0,4.14
2022-02-18,40037.0,-0.5,113.0,4.14
2022-02-19,40141.0,-1.0,,
2022-02-20,38420.0,-1.0,,
2022-02-21,37054.0,-1.0,113.0,4.14
2022-02-22,38299.0,-1.0,113.0,4.14
2022-02-23,37292.0,-1.0,113.0,4.14
2022-02-24,38380.0,-1.0,113.0,4.14
2022-02-25,39243.0,-1.0,113.0,4.14
2022-02-26,39125.0,-1.0,,
2022-02-27,37734.0,-1.0,,
2022-02-28,43202.0,-0.5,,
2022-03-01,44442.0,0.0,111.5,4.26
2022-03-02,43952.0,0.0,111.5,4.26
2022-03-03,42490.0,0.0,,
2022-03-04,39171.0,0.0,111.5,4.26
2022-03-05,39408.0,-0.5,,
2022-03-06,38437.0,-1.0,,
2022-03-07,38039.0,-1.0,111.5,4.26
2022-03-08,38757.0,-1.0,111.5,4.26
2022-03-09,41962.3,-0.5,111.5,4.26
2022-03-10,39458.5,-1.0,111.5,4.26
2022-03-11,38737.0,-1.0,111.5,4.26
2022-03-12,38816.3,-1.0,,
2022-03-13,37777.1,-1.0,,
2022-03-14,39717.0,-1.0,111.5,4.26
2022-03-15,39317.0,-1.0,111.5,4.26
2022-03-16,41148.0,-0.5,111.5,4.26
2022-03-17,40942.6,-0.5,111.5,4.26
2022-03-18,41774.0,0.0,111.5,4.26
2022-03-19,42214.0,0.0,,
2022-03-20,41249.0,0.0,,
2022-03-21,41031.0,0.0,111.5,4.26
2022-03-22,42370.0,0.0,111.5,4.26
2022-03-23,42882.0,0.0,111.5,4.26
2022-03-24,44003.0,0.5,111.5,4.26
2022-03-25,44337.0,0.5,111.5,4.26
2022-03-26,44536.4,0.5,,
2022-03-27,46836.0,0.5,,
2022-03-28,47105.0,0.5,111.5,4.26
2022-03-29,47424.0,0.5,111.5,4.26
2022-03-30,47035.0,0.5,111.5,4.26
2022-03-31,45535.0,0.5,111.5,4.26
2022-04-01,46301.0,0.5,111.5,4.26
2022-04-02,45825.0,0.5,,
2022-04-03,46383.0,0.5,,
2022-04-04,46611.1,0.5,111.5,4.26
2022-04-05,45481.0,0.5,111.5,4.26
2022-04-06,43199.0,0.0,111.5,4.26
2022-04-07,43458.0,0.0,111.5,4.26
2022-04-08,42277.0,0.0,111.5,4.26
2022-04-09,42780.0,0.0,,
2022-04-10,42181.0,-0.5,,
2022-04-11,39565.0,-0.5,111.5,4.26
2022-04-12,40087.0,-0.5,111.5,4.26
2022-04-13,41155.0,-1.0,111.5,4.26
2022-04-14,39948.0,-1.0,111.5,4.26
2022-04-15,40587.0,-1.0,,
2022-04-16,40408.7,-1.0,,
2022-04-17,39707.6,-1.0,,
2022-04-18,40821.0,-1.0,111.5,4.26
2022-04-19,41516.8,-1.0,111.5,4.26
2022-04-20,41366.4,-1.0,111.5,4.26
2022-04-21,40502.0,-1.0,111.5,4.26
2022-04-22,39724.0,-1.0,111.5,4.26
2022-04-23,39446.7,-1.0,,
2022-04-24,39486.0,-1.0,,
2022-04-25,40456.0,-1.0,111.5,4.26
2022-04-26,38139.0,-1.0,111.5,4.26
2022-04-27,39263.0,-1.0,111.5,4.26
2022-04-28,39757.8,-1.0,111.5,4.26
2022-04-29,38600.0,-1.0,,
2022-04-30,37662.0,-1.0,,
2022-05-01,38496.1,-1.0,,
2022-05-02,38520.0,-1.0,,
2022-05-03,37751.0,-1.0,,
2022-05-04,39701.2,-1.0,,
2022-05-05,36577.0,-1.0,,
2022-05-06,36040.0,-1.0,,
2022-05-07,35508.0,-1.0,,
2022-05-08,34084.0,-1.0,,
2022-05-09,30158.0,-1.0,111.5,4.26
2022-05-10,31050.0,-1.0,111.5,4.26
2022-05-11,29095.0,-1.0,111.5,4.26
2022-05-12,29089.5,-1.0,111.5,4.26
2022-05-13,29306.0,-1.0,95.0,5.4
2022-05-14,30104.0,-1.0,,
2022-05-15,31319.0,-1.0,,
2022-05-16,29854.0,-1.0,,
2022-05-17,30442.0,-1.0,95.0,5.4
2022-05-18,28680.0,-1.0,95.0,5.4
2022-05-19,30329.0,-1.0,95.0,5.4
2022-05-20,29202.0,-1.0,95.0,5.4
2022-05-21,29439.0,-1.0,,
2022-05-22,30283.0,-1.0,,
2022-05-23,29091.0,-1.0,95.0,5.4
2022-05-24,29647.0,-1.0,97.25,5.21
2022-05-25,29524.0,-1.0,97.25,5.21
2022-05-26,29213.0,-1.0,,
2022-05-27,28609.0,-1.0,97.25,5.21
2022-05-28,29037.0,-1.0,,
2022-05-29,29476.0,-1.0,,
2022-05-30,31726.3,-0.5,97.25,5.21
2022-05-31,31792.0,-0.5,100.75,4.95
2022-06-01,29832.0,-0.5,,
2022-06-02,30478.0,-0.5,100.75,4.95
2022-06-03,29730.0,-1.0,99.35,5.04
2022-06-04,29877.0,-1.0,,
2022-06-05,29923.4,-1.0,,
2022-06-06,31371.0,-0.5,99.35,5.04
2022-06-07,31149.0,-0.5,99.35,5.04
2022-06-08,30230.0,-0.5,100.1,4.99
2022-06-09,30112.2,-1.0,100.1,4.99
2022-06-10,29103.0,-1.0,97.4,5.17
2022-06-11,28425.0,-1.0,,
2022-06-12,26670.0,-1.0,,
2022-06-13,22487.0,-1.0,95.5,5.28
2022-06-14,22172.0,-1.0,95.5,5.28
2022-06-15,22594.0,-1.0,95.5,5.28
2022-06-16,20394.0,-1.0,95.5,5.28
2022-06-17,20411.0,-1.0,95.5,5.28
2022-06-18,18978.0,-1.0,,
2022-06-19,20556.0,-1.0,,
2022-06-20,20554.1,-1.0,95.5,5.28
2022-06-21,20692.9,-1.0,95.5,5.28
2022-06-22,19943.0,-1.0,95.35,5.32
2022-06-23,21071.0,-1.0,95.35,5.31
2022-06-24,21229.0,-1.0,95.6,5.35
2022-06-25,21485.0,-1.0,,
2022-06-26,21067.0,-1.0,,
2022-06-27,20718.0,-1.0,95.6,5.35
2022-06-28,20267.0,-1.0,95.6,5.35
2022-06-29,20106.6,-1.0,96.6,5.25
2022-06-30,19938.0,-1.0,96.1,5.28
2022-07-01,19286.0,-1.0,94.6,5.39
2022-07-02,19230.0,-1.0,,
2022-07-03,19308.8,-1.0,,
2022-07-04,20224.0,-1.0,94.6,5.39
2022-07-05,20169.0,-1.0,94.6,5.39
2022-07-06,20557.1,-1.0,94.6,5.39
2022-07-07,21620.0,-0.5,94.6,5.39
2022-07-08,21600.0,-0.5,94.75,5.32
2022-07-09,21575.8,-0.5,,
2022-07-10,20854.6,-0.5,,
2022-07-11,19945.0,-1.0,94.75,5.32
2022-07-12,19310.5,-1.0,94.6,5.37
2022-07-13,20246.0,-1.0,94.6,5.39
2022-07-14,20578.0,-1.0,94.6,5.43
2022-07-15,20816.0,-1.0,94.48,5.39
2022-07-16,21224.0,-0.5,,
2022-07-17,20781.0,-0.5,,
2022-07-18,22476.0,-0.5,94.1,5.43
2022-07-19,23398.0,0.0,94.1,5.43
2022-07-20,23209.0,0.0,93.98,5.44
2022-07-21,23151.8,0.0,94.85,5.33
2022-07-22,22675.9,0.0,95.1,5.31
2022-07-23,22446.0,0.0,,
2022-07-24,22579.2,0.0,,
2022-07-25,21302.6,0.0,95.1,5.31
2022-07-26,21271.0,-0.5,97.1,5.19
2022-07-27,22951.0,0.0,97.6,5.16
2022-07-28,23851.6,0.0,98.35,5.12
2022-07-29,23764.0,0.0,98.95,5.06
2022-07-30,23639.0,0.0,,
2022-07-31,23294.0,0.0,,
2022-08-01,23259.0,0.0,100.75,4.92
2022-08-02,22984.0,0.0,101.1,4.9
2022-08-03,22813.9,0.0,101.6,4.86
2022-08-04,22611.7,0.0,101.1,4.93
2022-08-05,23311.0,0.0,101.75,4.86
2022-08-06,22924.0,0.0,,
2022-08-07,23177.9,0.0,,
2022-08-08,23817.0,0.0,101.0,4.93
2022-08-09,23141.0,0.0,101.0,4.93
2022-08-10,23954.2,0.0,101.0,4.93
2022-08-11,23931.5,0.0,103.0,4.79
2022-08-12,24395.2,0.0,103.0,4.79
2022-08-13,24425.0,0.0,,
2022-08-14,24300.0,0.0,,
2022-08-15,24094.0,0.0,103.0,4.79
2022-08-16,23856.0,0.5,103.0,4.79
2022-08-17,23335.0,0.0,,
2022-08-18,23196.7,-0.5,100.35,4.93
2022-08-19,20839.0,-1.0,100.35,4.93
2022-08-20,21141.0,-1.0,,
2022-08-21,21510.0,-1.0,,
2022-08-22,21395.0,-1.0,99.5,5.01
2022-08-23,21527.0,-1.0,99.5,5.01
2022-08-24,21365.6,-1.0,101.5,4.87
2022-08-25,21563.1,-1.0,101.5,4.87
2022-08-26,20257.9,-1.0,101.5,4.87
2022-08-27,20036.0,-1.0,,
2022-08-28,19557.8,-1.0,,
2022-08-29,20308.0,-1.0,101.5,4.87
2022-08-30,19812.0,-1.0,101.5,4.87
2022-08-31,20058.0,-1.0,101.5,4.87
2022-09-01,20134.0,-1.0,101.5,4.87
2022-09-02,19973.0,-1.0,101.5,4.87
2022-09-03,19835.0,-1.0,,
2022-09-04,20002.0,-1.0,,
2022-09-05,19788.0,-1.0,96.4,5.25
2022-09-06,18790.0,-1.0,96.1,5.31
2022-09-07,19279.5,-1.0,94.5,5.38
2022-09-08,19322.0,-1.0,95.85,5.21
2022-09-09,21375.0,-0.5,96.95,5.17
2022-09-10,21648.0,-0.5,,
2022-09-11,21826.0,-0.5,,
2022-09-12,22395.0,0.0,96.45,5.2
2022-09-13,20181.0,-0.5,96.45,5.2
2022-09-14,20231.0,-1.0,97.05,5.2
2022-09-15,19717.0,-1.0,97.0,5.2
2022-09-16,19809.9,-1.0,96.0,5.21
2022-09-17,20127.0,-1.0,,
2022-09-18,19424.0,-1.0,,
2022-09-19,19544.5,-1.0,95.5,5.36
2022-09-20,18886.6,-1.0,95.0,5.37
2022-09-21,18476.5,-1.0,95.65,5.31
2022-09-22,19413.0,-1.0,93.75,5.52
2022-09-23,19298.8,-1.0,92.0,5.66
2022-09-24,18935.0,-1.0,,
2022-09-25,18817.0,-1.0,,
2022-09-26,19229.5,-1.0,91.5,5.7
2022-09-27,19096.6,-1.0,89.35,5.89
2022-09-28,19419.0,-1.0,87.0,6.03
2022-09-29,19588.0,-1.0,87.0,6.03
2022-09-30,19430.0,-1.0,85.5,6.18
2022-10-01,19317.0,-1.0,,
2022-10-02,19066.0,-1.0,,
2022-10-03,19638.0,-0.5,86.38,6.14
2022-10-04,20340.0,-0.5,88.0,5.98
2022-10-05,20156.0,-0.5,88.0,5.81
2022-10-06,19957.0,-0.5,88.5,5.9
2022-10-07,19533.0,-0.5,88.5,5.9
2022-10-08,19418.0,-1.0,,
2022-10-09,19444.4,-1.0,,
2022-10-10,19128.0,-1.0,87.0,6.05
2022-10-11,19062.0,-1.0,86.0,6.16
2022-10-12,19158.0,-1.0,85.5,6.19
2022-10-13,19387.0,-1.0,85.25,6.22
2022-10-14,19187.0,-1.0,85.25,6.21
2022-10-15,19072.0,-1.0,,
2022-10-16,19269.0,-1.0,,
2022-10-17,19554.0,-0.5,85.5,6.22
2022-10-18,19334.0,-1.0,84.5,6.27
2022-10-19,19132.0,-1.0,85.0,6.26
2022-10-20,19057.0,-1.0,84.0,6.31
2022-10-21,19175.0,-1.0,83.0,6.42
2022-10-22,19219.0,-1.0,,
2022-10-23,19585.0,-0.5,,
2022-10-24,19340.0,-0.5,83.0,6.47
2022-10-25,20104.0,0.0,83.0,6.45
2022-10-26,20788.0,0.0,83.0,6.45
2022-10-27,20303.0,0.0,86.75,6.07
2022-10-28,20611.0,0.0,87.4,6.02
2022-10-29,20833.0,0.0,,
2022-10-30,20647.0,0.0,,
2022-10-31,20509.0,0.5,87.5,6.03
2022-11-01,20500.0,0.5,87.6,6.01
2022-11-02,20168.0,0.5,87.75,6.01
2022-11-03,20223.0,0.5,87.6,6.01
2022-11-04,21168.0,0.5,87.6,6.01
2022-11-05,21313.0,0.5,,
2022-11-06,20932.0,0.5,,
2022-11-07,20610.0,0.5,87.6,6.01
2022-11-08,18557.0,0.0,88.0,6.02
2022-11-09,15907.0,-1.0,87.75,5.99
2022-11-10,17579.0,-1.0,87.75,5.99
2022-11-11,17045.0,-1.0,87.75,5.99
